Record Date,Country - Currency Description,Exchange Rate,Effective Date
3/31/24,Sudan-Pound,1250,5/15/24
3/31/24,Zimbabwe-RTGS,29140.6,4/15/24
3/31/24,Afghanistan-Afghani,71.2,3/31/24
3/31/24,Albania-Lek,94.92,3/31/24
3/31/24,Algeria-Dinar,134.137,3/31/24
3/31/24,Angola-Kwanza,832.633,3/31/24
3/31/24,Antigua & Barbuda-E. Caribbean Dollar,2.7,3/31/24
3/31/24,Argentina-Peso,876,3/31/24
3/31/24,Armenia-Dram,400,3/31/24
3/31/24,Australia-Dollar,1.535,3/31/24
3/31/24,Azerbaijan-Manat,1.7,3/31/24
3/31/24,Bahamas-Dollar,1,3/31/24
3/31/24,Bahrain-Dinar,0.377,3/31/24
3/31/24,Bangladesh-Taka,113,3/31/24
3/31/24,Barbados-Dollar,2.02,3/31/24
3/31/24,Belize-Dollar,2,3/31/24
3/31/24,Benin-CFA Franc,603.75,3/31/24
3/31/24,Bermuda-Dollar,1,3/31/24
3/31/24,Bolivia-Boliviano,6.86,3/31/24
3/31/24,Bosnia-Marka,1.812,3/31/24
3/31/24,Botswana-Pula,13.699,3/31/24
3/31/24,Brazil-Real,5.015,3/31/24
3/31/24,Brunei-Dollar,1.349,3/31/24
3/31/24,Bulgaria-Lev New,1.813,3/31/24
3/31/24,Burkina Faso-CFA Franc,603.75,3/31/24
3/31/24,Burundi-Franc,2870,3/31/24
3/31/24,Cambodia-Riel,4051,3/31/24
3/31/24,Cameroon-CFA Franc,608.04,3/31/24
3/31/24,Canada-Dollar,1.355,3/31/24
3/31/24,Cape Verde-Escudo,102.25,3/31/24
3/31/24,Cayman Islands-Dollar,0.82,3/31/24
3/31/24,Central African Rep.-CFA Franc,608.04,3/31/24
3/31/24,Chad-CFA Franc,608.04,3/31/24
3/31/24,Chile-Peso,978.97,3/31/24
3/31/24,China-Renminbi,7.22,3/31/24
3/31/24,Colombia-Peso,3858,3/31/24
3/31/24,Comoros-Franc,455.26,3/31/24
3/31/24,Congo-CFA Franc,608.04,3/31/24
3/31/24,Costa Rica-Colon,499.39,3/31/24
3/31/24,Cote D'ivoire-CFA Franc,603.75,3/31/24
3/31/24,Cuba-Chavito,1,3/31/24
3/31/24,Cuba-Peso,24,3/31/24
3/31/24,Czech Republic-Koruna,22.77,3/31/24
3/31/24,Dem. Rep. of Congo-Congolese Franc,2760,3/31/24
3/31/24,Denmark-Krone,6.914,3/31/24
3/31/24,Djibouti-Franc,177,3/31/24
3/31/24,Dominican Republic-Peso,58.99,3/31/24
3/31/24,Ecuador-Dolares,1,3/31/24
3/31/24,Egypt-Pound,47.35,3/31/24
3/31/24,El Salvador-Dollar,1,3/31/24
3/31/24,Equatorial Guinea-CFA Franc,608.04,3/31/24
3/31/24,Eritrea-Nakfa,15,3/31/24
3/31/24,Eswatini-Lilangeni,18.89,3/31/24
3/31/24,Ethiopia-Birr,56.624,3/31/24
3/31/24,Euro Zone-Euro,0.927,3/31/24
3/31/24,Fiji-Dollar,2.223,3/31/24
3/31/24,Gabon-CFA Franc,608.04,3/31/24
3/31/24,Gambia-Dalasi,67,3/31/24
3/31/24,Georgia-Lari,2.668,3/31/24
3/31/24,Ghana-Cedi,13.2,3/31/24
3/31/24,Grenada-E.Caribbean Dollar,2.7,3/31/24
3/31/24,Guatemala-Quentzal,7.785,3/31/24
3/31/24,Guinea Bissau-CFA Franc,603.75,3/31/24
3/31/24,Guinea-Franc,8505,3/31/24
3/31/24,Guyana-Dollar,215,3/31/24
3/31/24,Haiti-Gourde,131.797,3/31/24
3/31/24,Honduras-Lempira,24.635,3/31/24
3/31/24,Hong Kong-Dollar,7.826,3/31/24
3/31/24,Hungary-Forint,364.89,3/31/24
3/31/24,Iceland-Krona,139.18,3/31/24
3/31/24,India-Rupee,83.339,3/31/24
3/31/24,Indonesia-Rupiah,15824.16,3/31/24
3/31/24,Iran-Rial,42000,3/31/24
3/31/24,Iraq-Dinar,1309,3/31/24
3/31/24,Israel-Shekel,3.678,3/31/24
3/31/24,Jamaica-Dollar,157,3/31/24
3/31/24,Japan-Yen,151.34,3/31/24
3/31/24,Jordan-Dinar,0.708,3/31/24
3/31/24,Kazakhstan-Tenge,447.1,3/31/24
3/31/24,Kenya-Shilling,131.25,3/31/24
3/31/24,Korea-Won,1345.57,3/31/24
3/31/24,Kuwait-Dinar,0.307,3/31/24
3/31/24,Kyrgyzstan-Som,89.471,3/31/24
3/31/24,Laos-Kip,21050,3/31/24
3/31/24,Lebanon-Pound,15000,3/31/24
3/31/24,Lesotho-Maloti,18.89,3/31/24
3/31/24,Liberia-Dollar,193,3/31/24
3/31/24,Libya-Dinar,4.827,3/31/24
3/31/24,Madagascar-Ariary,4350,3/31/24
3/31/24,Malawi-Kwacha,1751,3/31/24
3/31/24,Malaysia-Ringgit,4.723,3/31/24
3/31/24,Maldives-Rufiyaa,15.42,3/31/24
3/31/24,Mali-CFA Franc,603.75,3/31/24
3/31/24,Marshall Islands-U.S. Dollar,1,3/31/24
3/31/24,Mauritania-Ouguiya,39.604,3/31/24
3/31/24,Mauritius-Rupee,46.23,3/31/24
3/31/24,Mexico-Peso,16.558,3/31/24
3/31/24,Micronesia-U.S. Dollar,1,3/31/24
3/31/24,Moldova-LEU,17.53,3/31/24
3/31/24,Mongolia-Tugrik,3375.96,3/31/24
3/31/24,Morocco-Dirham,10.138,3/31/24
3/31/24,Mozambique-Metical,63.26,3/31/24
3/31/24,Myanmar-Kyat,3379,3/31/24
3/31/24,Nambia-Dollar,18.89,3/31/24
3/31/24,Nepal-Rupee,133.15,3/31/24
3/31/24,Netherlands Antilles-Guilder,1.78,3/31/24
3/31/24,New Zealand-Dollar,1.673,3/31/24
3/31/24,Nicaragua-Cordoba,36.6,3/31/24
3/31/24,Niger-CFA Franc,603.75,3/31/24
3/31/24,Nigeria-Naira,1387,3/31/24
3/31/24,Norway-Krone,10.862,3/31/24
3/31/24,Oman-Rial,0.385,3/31/24
3/31/24,Pakistan-Rupee,277.9,3/31/24
3/31/24,Palau-Dollar,1,3/31/24
3/31/24,Panama-Dolares,1,3/31/24
3/31/24,Papua New Guinea-Kina,3.772,3/31/24
3/31/24,Paraguay-Guarani,7373,3/31/24
3/31/24,Peru-Sol,3.713,3/31/24
3/31/24,Philippines-Peso,56.118,3/31/24
3/31/24,Poland-Zloty,3.982,3/31/24
3/31/24,Qatar-Riyal,3.645,3/31/24
3/31/24,Rep. of N. Macedonia-Denar,56.86,3/31/24
3/31/24,Romania-New Leu,4.605,3/31/24
3/31/24,Russia-Ruble,92.333,3/31/24
3/31/24,Rwanda-Franc,1290,3/31/24
3/31/24,Sao Tome & Principe-New Dobras,22.652,3/31/24
3/31/24,Saudi Arabia-Riyal,3.75,3/31/24
3/31/24,Senegal-CFA Franc,603.75,3/31/24
3/31/24,Serbia-Dinar,108.46,3/31/24
3/31/24,Seychelles-Rupee,13.668,3/31/24
3/31/24,Sierra Leone-Leone,22.57,3/31/24
3/31/24,Sierra Leone-Old Leone,21.4,3/31/24
3/31/24,Singapore-Dollar,1.349,3/31/24
3/31/24,Solomon Islands-Dollar,8.065,3/31/24
3/31/24,Somali-Shilling,568,3/31/24
3/31/24,South Africa-Rand,18.89,3/31/24
3/31/24,South Sudan-Sudanese Pound,1580,3/31/24
3/31/24,Sri Lanka-Rupee,300.3,3/31/24
3/31/24,St. Lucia-E. Caribbean Dollar,2.7,3/31/24
3/31/24,Sudan-Pound,1120,3/31/24
3/31/24,Suriname-Dollar,35.059,3/31/24
3/31/24,Sweden-Krona,10.697,3/31/24
3/31/24,Switzerland-Franc,0.902,3/31/24
3/31/24,Syria-Pound,12500,3/31/24
3/31/24,Taiwan-Dollar,31.925,3/31/24
3/31/24,Tajikistan-Somoni,10.92,3/31/24
3/31/24,Tanzania-Shilling,2575,3/31/24
3/31/24,Thailand-Baht,36.35,3/31/24
3/31/24,Timor-Leste-Dili,1,3/31/24
3/31/24,Togo-CFA Franc,603.75,3/31/24
3/31/24,Tonga-Pa'anga,2.283,3/31/24
3/31/24,Trinidad & Tobago-Dollar,6.76,3/31/24
3/31/24,Tunisia-Dinar,3.128,3/31/24
3/31/24,Turkey-New Lira,32.356,3/31/24
3/31/24,Turkmenistan-New Manat,3.491,3/31/24
3/31/24,Uganda-Shilling,3881.11,3/31/24
3/31/24,Ukraine-Hryvnia,38.974,3/31/24
3/31/24,United Arab Emirates-Dirham,3.672,3/31/24
3/31/24,United Kingdom-Pound,0.793,3/31/24
3/31/24,Uruguay-Peso,37.55,3/31/24
3/31/24,Uzbekistan-Som,12564.91,3/31/24
3/31/24,Vanuatu-Vatu,118,3/31/24
3/31/24,Venezuela-Bolivar Soberano,36.199,3/31/24
3/31/24,Venezuela-Fuerte (OLD),248832,3/31/24
3/31/24,Vietnam-Dong,24810,3/31/24
3/31/24,Western Samoa-Tala,2.653,3/31/24
3/31/24,Yemen-Rial,528,3/31/24
3/31/24,Zambia-New Kwacha,24.867,3/31/24
3/31/24,Zimbabwe-RTGS,21005.2,3/31/24
12/31/23,Egypt-Pound,47.75,3/14/24
12/31/23,Kenya-Shilling,134.5,3/14/24
12/31/23,Chile-Peso,927.7,2/29/24
12/31/23,South Sudan-Sudanese Pound,1433,2/29/24
12/31/23,Nigeria-Naira,1423,2/15/24
12/31/23,Sudan-Pound,980,1/31/24
12/31/23,Zimbabwe-RTGS,8123.33,1/12/24
12/31/23,Afghanistan-Afghani,70.54,12/31/23
12/31/23,Albania-Lek,93.23,12/31/23
12/31/23,Algeria-Dinar,134.051,12/31/23
12/31/23,Angola-Kwanza,842.5,12/31/23
12/31/23,Antigua & Barbuda-E. Caribbean Dollar,2.7,12/31/23
12/31/23,Argentina-Peso,827.75,12/31/23
12/31/23,Armenia-Dram,400,12/31/23
12/31/23,Australia-Dollar,1.472,12/31/23
12/31/23,Azerbaijan-Manat,1.7,12/31/23
12/31/23,Bahamas-Dollar,1,12/31/23
12/31/23,Bahrain-Dinar,0.377,12/31/23
12/31/23,Bangladesh-Taka,113,12/31/23
12/31/23,Barbados-Dollar,2.02,12/31/23
12/31/23,Belize-Dollar,2,12/31/23
12/31/23,Benin-CFA Franc,589,12/31/23
12/31/23,Bermuda-Dollar,1,12/31/23
12/31/23,Bolivia-Boliviano,6.86,12/31/23
12/31/23,Bosnia-Marka,1.769,12/31/23
12/31/23,Botswana-Pula,13.387,12/31/23
12/31/23,Brazil-Real,4.852,12/31/23
12/31/23,Brunei-Dollar,1.32,12/31/23
12/31/23,Bulgaria-Lev New,1.769,12/31/23
12/31/23,Burkina Faso-CFA Franc,589,12/31/23
12/31/23,Burundi-Franc,2850,12/31/23
12/31/23,Cambodia-Riel,4051,12/31/23
12/31/23,Cameroon-CFA Franc,593.41,12/31/23
12/31/23,Canada-Dollar,1.326,12/31/23
12/31/23,Cape Verde-Escudo,99.75,12/31/23
12/31/23,Cayman Islands-Dollar,0.82,12/31/23
12/31/23,Central African Rep.-CFA Franc,593.41,12/31/23
12/31/23,Chad-CFA Franc,593.41,12/31/23
12/31/23,Chile-Peso,880,12/31/23
12/31/23,China-Renminbi,7.104,12/31/23
12/31/23,Colombia-Peso,3873,12/31/23
12/31/23,Comoros-Franc,443.49,12/31/23
12/31/23,Congo-CFA Franc,593.41,12/31/23
12/31/23,Costa Rica-Colon,519.22,12/31/23
12/31/23,Cote D'ivoire-CFA Franc,589,12/31/23
12/31/23,Cuba-Chavito,1,12/31/23
12/31/23,Cuba-Peso,24,12/31/23
12/31/23,Cyprus-Euro,0.905,12/31/23
12/31/23,Czech Republic-Koruna,21.731,12/31/23
12/31/23,Dem. Rep. of Congo-Congolese Franc,2660,12/31/23
12/31/23,Denmark-Krone,6.744,12/31/23
12/31/23,Djibouti-Franc,177,12/31/23
12/31/23,Dominican Republic-Peso,57.9,12/31/23
12/31/23,Ecuador-Dolares,1,12/31/23
12/31/23,Egypt-Pound,30.9,12/31/23
12/31/23,El Salvador-Dollar,1,12/31/23
12/31/23,Equatorial Guinea-CFA Franc,593.41,12/31/23
12/31/23,Eritrea-Nakfa,15,12/31/23
12/31/23,Eswatini-Lilangeni,18.427,12/31/23
12/31/23,Ethiopia-Birr,55.997,12/31/23
12/31/23,Euro Zone-Euro,0.905,12/31/23
12/31/23,Fiji-Dollar,2.165,12/31/23
12/31/23,Gabon-CFA Franc,593.41,12/31/23
12/31/23,Gambia-Dalasi,64,12/31/23
12/31/23,Georgia-Lari,2.665,12/31/23
12/31/23,Ghana-Cedi,11.9,12/31/23
12/31/23,Grenada-E.Caribbean Dollar,2.7,12/31/23
12/31/23,Guatemala-Quentzal,7.815,12/31/23
12/31/23,Guinea Bissau-CFA Franc,589,12/31/23
12/31/23,Guinea-Franc,8511,12/31/23
12/31/23,Guyana-Dollar,215,12/31/23
12/31/23,Haiti-Gourde,131.23,12/31/23
12/31/23,Honduras-Lempira,24.624,12/31/23
12/31/23,Hong Kong-Dollar,7.811,12/31/23
12/31/23,Hungary-Forint,345.78,12/31/23
12/31/23,Iceland-Krona,136.04,12/31/23
12/31/23,India-Rupee,83.162,12/31/23
12/31/23,Indonesia-Rupiah,15372.69,12/31/23
12/31/23,Iran-Rial,42000,12/31/23
12/31/23,Iraq-Dinar,1308,12/31/23
12/31/23,Israel-Shekel,3.619,12/31/23
12/31/23,Jamaica-Dollar,154,12/31/23
12/31/23,Japan-Yen,141.47,12/31/23
12/31/23,Jordan-Dinar,0.708,12/31/23
12/31/23,Kazakhstan-Tenge,456.29,12/31/23
12/31/23,Kenya-Shilling,156.5,12/31/23
12/31/23,Korea-Won,1299.22,12/31/23
12/31/23,Kuwait-Dinar,0.307,12/31/23
12/31/23,Kyrgyzstan-Som,89.062,12/31/23
12/31/23,Laos-Kip,20476,12/31/23
12/31/23,Lebanon-Pound,15000,12/31/23
12/31/23,Lesotho-Maloti,18.427,12/31/23
12/31/23,Liberia-Dollar,189,12/31/23
12/31/23,Libya-Dinar,4.754,12/31/23
12/31/23,Madagascar-Ariary,4564,12/31/23
12/31/23,Malawi-Kwacha,1700,12/31/23
12/31/23,Malaysia-Ringgit,4.59,12/31/23
12/31/23,Maldives-Rufiyaa,15.42,12/31/23
12/31/23,Mali-CFA Franc,589,12/31/23
12/31/23,Marshall Islands-U.S. Dollar,1,12/31/23
12/31/23,Mauritania-Ouguiya,39.16,12/31/23
12/31/23,Mauritius-Rupee,43.87,12/31/23
12/31/23,Mexico-Peso,16.949,12/31/23
12/31/23,Micronesia-U.S. Dollar,1,12/31/23
12/31/23,Moldova-LEU,17.25,12/31/23
12/31/23,Mongolia-Tugrik,3410.69,12/31/23
12/31/23,Morocco-Dirham,9.855,12/31/23
12/31/23,Mozambique-Metical,63.25,12/31/23
12/31/23,Myanmar-Kyat,3380,12/31/23
12/31/23,Nambia-Dollar,18.427,12/31/23
12/31/23,Nepal-Rupee,133.05,12/31/23
12/31/23,Netherlands Antilles-Guilder,1.78,12/31/23
12/31/23,New Zealand-Dollar,1.585,12/31/23
12/31/23,Nicaragua-Cordoba,36.6,12/31/23
12/31/23,Niger-CFA Franc,589,12/31/23
12/31/23,Nigeria-Naira,910,12/31/23
12/31/23,Norway-Krone,10.166,12/31/23
12/31/23,Oman-Rial,0.385,12/31/23
12/31/23,Pakistan-Rupee,276.2,12/31/23
12/31/23,Palau-Dollar,1,12/31/23
12/31/23,Panama-Dolares,1,12/31/23
12/31/23,Papua New Guinea-Kina,3.727,12/31/23
12/31/23,Paraguay-Guarani,7249.99,12/31/23
