	Record Date	Exchange Rate	Effective Date	Country	Currency	Country Name	Country Code	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
11764	3/31/01	78400.0	20010331	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
11604	6/30/01	73000.0	20010630	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
11443	9/30/01	71500.0	20010930	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
11282	12/31/01	38200.0	20011231	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
11181	3/31/02	35000.0	20020331	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
10973	6/30/02	36807.0	20020630	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
10823	9/30/02	38600.0	20020930	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
10813	12/31/02	39000.0	20021231	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
10523	3/31/03	40.3	20030331	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
10370	6/30/03	49.1	20030630	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
10217	9/30/03	49.25	20030930	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
10064	12/31/03	48.17	20031231	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
9911	3/31/04	49.87	20040331	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
9758	6/30/04	57.69	20040630	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
9594	9/30/04	45.67	20040930	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
9430	12/31/04	45.21	20041231	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
9265	3/31/05	45.21	20050331	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
9100	6/30/05	45.21	20050630	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
