Record Date,Exchange Rate,Effective Date,Country,Currency,Country Name,Country Code,GDPGrowth,Year
3/31/01,78400.0,20010331,Afghanistan,Afghani,Afghanistan,AFG,0.0,2001
6/30/01,73000.0,20010630,Afghanistan,Afghani,Afghanistan,AFG,0.0,2001
9/30/01,71500.0,20010930,Afghanistan,Afghani,Afghanistan,AFG,0.0,2001
12/31/01,38200.0,20011231,Afghanistan,Afghani,Afghanistan,AFG,0.0,2001
3/31/01,142.4,20010331,Albania,Lek,Albania,ALB,8.293312631,2001
6/30/01,149.0,20010630,Albania,Lek,Albania,ALB,8.293312631,2001
9/30/01,142.0,20010930,Albania,Lek,Albania,ALB,8.293312631,2001
12/31/01,136.3,20011231,Albania,Lek,Albania,ALB,8.293312631,2001
3/31/01,76.539,20010331,Algeria,Dinar,Algeria,DZA,2.999999999,2001
6/30/01,78.101,20010630,Algeria,Dinar,Algeria,DZA,2.999999999,2001
9/30/01,76.429,20010930,Algeria,Dinar,Algeria,DZA,2.999999999,2001
12/31/01,78.078,20011231,Algeria,Dinar,Algeria,DZA,2.999999999,2001
3/31/01,19.706,20010331,Angola,Kwanza,Angola,AGO,4.205998556,2001
6/30/01,19.706,20010630,Angola,Kwanza,Angola,AGO,4.205998556,2001
9/30/01,20.389,20010930,Angola,Kwanza,Angola,AGO,4.205998556,2001
12/31/01,30.044,20011231,Angola,Kwanza,Angola,AGO,4.205998556,2001
3/31/01,2.7,20010331,Antigua & Barbuda,E. Caribbean Dollar,Antigua & Barbuda,ATG,-4.548003473,2001
6/30/01,2.7,20010630,Antigua & Barbuda,E. Caribbean Dollar,Antigua & Barbuda,ATG,-4.548003473,2001
9/30/01,2.7,20010930,Antigua & Barbuda,E. Caribbean Dollar,Antigua & Barbuda,ATG,-4.548003473,2001
12/31/01,2.7,20011231,Antigua & Barbuda,E. Caribbean Dollar,Antigua & Barbuda,ATG,-4.548003473,2001
3/31/01,1.0,20010331,Argentina,Peso,Argentina,ARG,-4.408839683,2001
6/30/01,1.0,20010630,Argentina,Peso,Argentina,ARG,-4.408839683,2001
9/30/01,1.0,20010930,Argentina,Peso,Argentina,ARG,-4.408839683,2001
12/31/01,1.0,20011231,Argentina,Peso,Argentina,ARG,-4.408839683,2001
3/31/01,550.0,20010331,Armenia,Dram,Armenia,ARM,9.599999999,2001
6/30/01,554.68,20010630,Armenia,Dram,Armenia,ARM,9.599999999,2001
9/30/01,557.0,20010930,Armenia,Dram,Armenia,ARM,9.599999999,2001
12/31/01,565.0,20011231,Armenia,Dram,Armenia,ARM,9.599999999,2001
3/31/01,1.903,20010331,Australia,Dollar,Australia,AUS,2.025127315,2001
6/30/01,1.979,20010630,Australia,Dollar,Australia,AUS,2.025127315,2001
9/30/01,1.894,20010930,Australia,Dollar,Australia,AUS,2.025127315,2001
12/31/01,1.955,20011231,Australia,Dollar,Australia,AUS,2.025127315,2001
3/31/01,1.083,20010331,Austria,Euro,Austria,AUT,1.267168189,2001
3/31/01,14.908,20010331,Austria,Schilling,Austria,AUT,1.267168189,2001
6/30/01,1.181,20010630,Austria,Euro,Austria,AUT,1.267168189,2001
