,Record Date,Exchange Rate,Effective Date,Country,Currency,Country Name,Country Code,GDPGrowth,Year
0,3/31/01,78400.0,20010331,Afghanistan,Afghani,Afghanistan,4,0.0,2001
1,6/30/01,73000.0,20010630,Afghanistan,Afghani,Afghanistan,4,0.0,2001
2,9/30/01,71500.0,20010930,Afghanistan,Afghani,Afghanistan,4,0.0,2001
3,12/31/01,38200.0,20011231,Afghanistan,Afghani,Afghanistan,4,0.0,2001
4,3/31/01,142.4,20010331,Albania,Lek,Albania,8,8.293312631,2001
5,6/30/01,149.0,20010630,Albania,Lek,Albania,8,8.293312631,2001
6,9/30/01,142.0,20010930,Albania,Lek,Albania,8,8.293312631,2001
7,12/31/01,136.3,20011231,Albania,Lek,Albania,8,8.293312631,2001
8,3/31/01,76.539,20010331,Algeria,Dinar,Algeria,12,2.999999999,2001
9,6/30/01,78.101,20010630,Algeria,Dinar,Algeria,12,2.999999999,2001
10,9/30/01,76.429,20010930,Algeria,Dinar,Algeria,12,2.999999999,2001
11,12/31/01,78.078,20011231,Algeria,Dinar,Algeria,12,2.999999999,2001
12,3/31/01,19.706,20010331,Angola,Kwanza,Angola,24,4.205998556,2001
13,6/30/01,19.706,20010630,Angola,Kwanza,Angola,24,4.205998556,2001
14,9/30/01,20.389,20010930,Angola,Kwanza,Angola,24,4.205998556,2001
15,12/31/01,30.044,20011231,Angola,Kwanza,Angola,24,4.205998556,2001
16,3/31/01,2.7,20010331,Antigua & Barbuda,E. Caribbean Dollar,Antigua & Barbuda,28,-4.548003473,2001
17,6/30/01,2.7,20010630,Antigua & Barbuda,E. Caribbean Dollar,Antigua & Barbuda,28,-4.548003473,2001
18,9/30/01,2.7,20010930,Antigua & Barbuda,E. Caribbean Dollar,Antigua & Barbuda,28,-4.548003473,2001
19,12/31/01,2.7,20011231,Antigua & Barbuda,E. Caribbean Dollar,Antigua & Barbuda,28,-4.548003473,2001
20,3/31/01,1.0,20010331,Argentina,Peso,Argentina,32,-4.408839683,2001
21,6/30/01,1.0,20010630,Argentina,Peso,Argentina,32,-4.408839683,2001
22,9/30/01,1.0,20010930,Argentina,Peso,Argentina,32,-4.408839683,2001
23,12/31/01,1.0,20011231,Argentina,Peso,Argentina,32,-4.408839683,2001
24,3/31/01,550.0,20010331,Armenia,Dram,Armenia,51,9.599999999,2001
25,6/30/01,554.68,20010630,Armenia,Dram,Armenia,51,9.599999999,2001
26,9/30/01,557.0,20010930,Armenia,Dram,Armenia,51,9.599999999,2001
27,12/31/01,565.0,20011231,Armenia,Dram,Armenia,51,9.599999999,2001
28,3/31/01,1.903,20010331,Australia,Dollar,Australia,36,2.025127315,2001
29,6/30/01,1.979,20010630,Australia,Dollar,Australia,36,2.025127315,2001
30,9/30/01,1.894,20010930,Australia,Dollar,Australia,36,2.025127315,2001
31,12/31/01,1.955,20011231,Australia,Dollar,Australia,36,2.025127315,2001
32,3/31/01,1.083,20010331,Austria,Euro,Austria,40,1.267168189,2001
33,3/31/01,14.908,20010331,Austria,Schilling,Austria,40,1.267168189,2001
34,6/30/01,1.181,20010630,Austria,Euro,Austria,40,1.267168189,2001
35,6/30/01,16.256,20010630,Austria,Schilling,Austria,40,1.267168189,2001
36,9/30/01,1.1,20010930,Austria,Euro,Austria,40,1.267168189,2001
37,9/30/01,15.14,20010930,Austria,Schilling,Austria,40,1.267168189,2001
38,12/31/01,1.122,20011231,Austria,Euro,Austria,40,1.267168189,2001
39,12/31/01,15.442,20011231,Austria,Schilling,Austria,40,1.267168189,2001
40,3/31/01,1.0,20010331,Bahamas,Dollar,Bahamas,44,2.626009827,2001
41,6/30/01,1.0,20010630,Bahamas,Dollar,Bahamas,44,2.626009827,2001
42,9/30/01,1.0,20010930,Bahamas,Dollar,Bahamas,44,2.626009827,2001
43,12/31/01,1.0,20011231,Bahamas,Dollar,Bahamas,44,2.626009827,2001
44,3/31/01,0.377,20010331,Bahrain,Dinar,Bahrain,48,2.490948108,2001
45,6/30/01,0.377,20010630,Bahrain,Dinar,Bahrain,48,2.490948108,2001
46,9/30/01,0.377,20010930,Bahrain,Dinar,Bahrain,48,2.490948108,2001
47,12/31/01,0.376,20011231,Bahrain,Dinar,Bahrain,48,2.490948108,2001
48,3/31/01,54.0,20010331,Bangladesh,Taka,Bangladesh,50,5.077287775,2001
49,6/30/01,57.0,20010630,Bangladesh,Taka,Bangladesh,50,5.077287775,2001
50,9/30/01,57.0,20010930,Bangladesh,Taka,Bangladesh,50,5.077287775,2001
51,12/31/01,57.0,20011231,Bangladesh,Taka,Bangladesh,50,5.077287775,2001
52,3/31/01,2.0,20010331,Barbados,Dollar,Barbados,52,-2.365464222,2001
53,6/30/01,2.0,20010630,Barbados,Dollar,Barbados,52,-2.365464222,2001
54,9/30/01,2.0,20010930,Barbados,Dollar,Barbados,52,-2.365464222,2001
55,12/31/01,2.0,20011231,Barbados,Dollar,Barbados,52,-2.365464222,2001
56,3/31/01,1230.0,20010331,Belarus,Ruble,Belarus,112,4.72530605,2001
57,6/30/01,1365.0,20010630,Belarus,Ruble,Belarus,112,4.72530605,2001
58,9/30/01,1450.0,20010930,Belarus,Ruble,Belarus,112,4.72530605,2001
59,12/31/01,1565.0,20011231,Belarus,Ruble,Belarus,112,4.72530605,2001
60,3/31/01,1.083,20010331,Belgium,Euro,Belgium,56,1.099618888,2001
61,3/31/01,43.705,20010331,Belgium,Francs,Belgium,56,1.099618888,2001
62,6/30/01,1.181,20010630,Belgium,Euro,Belgium,56,1.099618888,2001
63,6/30/01,47.655,20010630,Belgium,Francs,Belgium,56,1.099618888,2001
64,9/30/01,1.1,20010930,Belgium,Euro,Belgium,56,1.099618888,2001
65,9/30/01,44.383,20010930,Belgium,Francs,Belgium,56,1.099618888,2001
66,12/31/01,1.122,20011231,Belgium,Euro,Belgium,56,1.099618888,2001
67,12/31/01,45.27,20011231,Belgium,Francs,Belgium,56,1.099618888,2001
68,3/31/01,2.0,20010331,Belize,Dollar,Belize,84,4.993563302,2001
69,6/30/01,2.0,20010630,Belize,Dollar,Belize,84,4.993563302,2001
70,9/30/01,2.0,20010930,Belize,Dollar,Belize,84,4.993563302,2001
71,12/31/01,2.0,20011231,Belize,Dollar,Belize,84,4.993563302,2001
72,3/31/01,710.53,20010331,Benin,CFA Franc,Benin,204,5.333135706,2001
73,6/30/01,774.9,20010630,Benin,CFA Franc,Benin,204,5.333135706,2001
74,9/30/01,721.7,20010930,Benin,CFA Franc,Benin,204,5.333135706,2001
75,12/31/01,736.12,20011231,Benin,CFA Franc,Benin,204,5.333135706,2001
76,3/31/01,1.0,20010331,Bermuda,Dollar,Bermuda,60,7.222435538,2001
77,6/30/01,1.0,20010630,Bermuda,Dollar,Bermuda,60,7.222435538,2001
78,9/30/01,1.0,20010930,Bermuda,Dollar,Bermuda,60,7.222435538,2001
79,12/31/01,1.0,20011231,Bermuda,Dollar,Bermuda,60,7.222435538,2001
80,3/31/01,6.438,20010331,Bolivia,Boliviano,Bolivia,68,1.683799127,2001
81,6/30/01,6.54,20010630,Bolivia,Boliviano,Bolivia,68,1.683799127,2001
82,9/30/01,6.7,20010930,Bolivia,Boliviano,Bolivia,68,1.683799127,2001
83,12/31/01,6.83,20011231,Bolivia,Boliviano,Bolivia,68,1.683799127,2001
84,3/31/01,5.376,20010331,Botswana,Pula,Botswana,72,0.25057395,2001
85,6/30/01,5.627,20010630,Botswana,Pula,Botswana,72,0.25057395,2001
86,9/30/01,5.724,20010930,Botswana,Pula,Botswana,72,0.25057395,2001
87,12/31/01,6.964,20011231,Botswana,Pula,Botswana,72,0.25057395,2001
88,3/31/01,2.043,20010331,Brazil,Real,Brazil,76,1.389896401,2001
89,6/30/01,2.36,20010630,Brazil,Real,Brazil,76,1.389896401,2001
90,9/30/01,2.552,20010930,Brazil,Real,Brazil,76,1.389896401,2001
91,12/31/01,2.309,20011231,Brazil,Real,Brazil,76,1.389896401,2001
92,3/31/01,2.114,20010331,Bulgaria,Lev New,Bulgaria,100,3.823703965,2001
93,6/30/01,2.3,20010630,Bulgaria,Lev New,Bulgaria,100,3.823703965,2001
94,9/30/01,2.146,20010930,Bulgaria,Lev New,Bulgaria,100,3.823703965,2001
95,12/31/01,2.184,20011231,Bulgaria,Lev New,Bulgaria,100,3.823703965,2001
96,3/31/01,710.53,20010331,Burkina Faso,CFA Franc,Burkina Faso,854,6.613405745,2001
97,6/30/01,774.9,20010630,Burkina Faso,CFA Franc,Burkina Faso,854,6.613405745,2001
98,9/30/01,721.7,20010930,Burkina Faso,CFA Franc,Burkina Faso,854,6.613405745,2001
99,12/31/01,736.12,20011231,Burkina Faso,CFA Franc,Burkina Faso,854,6.613405745,2001
100,3/31/01,780.588,20010331,Burundi,Franc,Burundi,108,2.055807108,2001
101,6/30/01,822.749,20010630,Burundi,Franc,Burundi,108,2.055807108,2001
102,9/30/01,833.024,20010930,Burundi,Franc,Burundi,108,2.055807108,2001
103,12/31/01,851.05,20011231,Burundi,Franc,Burundi,108,2.055807108,2001
104,3/31/01,710.53,20010331,Cameroon,CFA Franc,Cameroon,120,4.324261192,2001
105,6/30/01,774.9,20010630,Cameroon,CFA Franc,Cameroon,120,4.324261192,2001
106,9/30/01,721.7,20010930,Cameroon,CFA Franc,Cameroon,120,4.324261192,2001
107,12/31/01,736.12,20011231,Cameroon,CFA Franc,Cameroon,120,4.324261192,2001
108,3/31/01,1.532,20010331,Canada,Dollar,Canada,124,1.875098132,2001
109,6/30/01,1.541,20010630,Canada,Dollar,Canada,124,1.875098132,2001
110,9/30/01,1.549,20010930,Canada,Dollar,Canada,124,1.875098132,2001
111,12/31/01,1.592,20011231,Canada,Dollar,Canada,124,1.875098132,2001
112,3/31/01,121.203,20010331,Cape Verde,Escudo,Cape Verde,132,2.231654545,2001
113,6/30/01,128.353,20010630,Cape Verde,Escudo,Cape Verde,132,2.231654545,2001
114,9/30/01,120.486,20010930,Cape Verde,Escudo,Cape Verde,132,2.231654545,2001
115,12/31/01,123.556,20011231,Cape Verde,Escudo,Cape Verde,132,2.231654545,2001
116,3/31/01,710.53,20010331,Chad,CFA Franc,Chad,148,11.65813465,2001
117,6/30/01,774.9,20010630,Chad,CFA Franc,Chad,148,11.65813465,2001
118,9/30/01,721.7,20010930,Chad,CFA Franc,Chad,148,11.65813465,2001
119,12/31/01,736.12,20011231,Chad,CFA Franc,Chad,148,11.65813465,2001
120,3/31/01,574.04,20010331,Chile,Peso,Chile,152,3.154034924,2001
121,6/30/01,610.8,20010630,Chile,Peso,Chile,152,3.154034924,2001
122,9/30/01,662.2,20010930,Chile,Peso,Chile,152,3.154034924,2001
123,12/31/01,661.0,20011231,Chile,Peso,Chile,152,3.154034924,2001
124,3/31/01,8.266,20010331,China,Renminbi,China,156,8.335733476,2001
125,6/30/01,8.265,20010630,China,Renminbi,China,156,8.335733476,2001
126,9/30/01,8.264,20010930,China,Renminbi,China,156,8.335733476,2001
127,12/31/01,8.265,20011231,China,Renminbi,China,156,8.335733476,2001
128,3/31/01,2262.8,20010331,Colombia,Peso,Colombia,170,1.677898308,2001
129,6/30/01,2324.5,20010630,Colombia,Peso,Colombia,170,1.677898308,2001
130,9/30/01,2296.2,20010930,Colombia,Peso,Colombia,170,1.677898308,2001
131,12/31/01,2275.0,20011231,Colombia,Peso,Colombia,170,1.677898308,2001
132,3/31/01,532.898,20010331,Comoros,Franc,Comoros,174,2.332907102,2001
133,6/30/01,581.175,20010630,Comoros,Franc,Comoros,174,2.332907102,2001
134,9/30/01,541.275,20010930,Comoros,Franc,Comoros,174,2.332907102,2001
135,12/31/01,552.09,20011231,Comoros,Franc,Comoros,174,2.332907102,2001
136,3/31/01,321.01,20010331,Costa Rica,Colon,Costa Rica,188,3.491169871,2001
137,6/30/01,325.96,20010630,Costa Rica,Colon,Costa Rica,188,3.491169871,2001
138,9/30/01,331.87,20010930,Costa Rica,Colon,Costa Rica,188,3.491169871,2001
139,12/31/01,341.3,20011231,Costa Rica,Colon,Costa Rica,188,3.491169871,2001
140,3/31/01,8.456,20010331,Croatia,KUNA,Croatia,191,3.120864388,2001
141,6/30/01,8.504,20010630,Croatia,KUNA,Croatia,191,3.120864388,2001
142,9/30/01,8.337,20010930,Croatia,KUNA,Croatia,191,3.120864388,2001
143,12/31/01,8.308,20011231,Croatia,KUNA,Croatia,191,3.120864388,2001
144,3/31/01,0.627,20010331,Cyprus,Pound,Cyprus,196,3.952560541,2001
145,6/30/01,0.681,20010630,Cyprus,Pound,Cyprus,196,3.952560541,2001
146,9/30/01,0.63,20010930,Cyprus,Pound,Cyprus,196,3.952560541,2001
147,12/31/01,0.645,20011231,Cyprus,Pound,Cyprus,196,3.952560541,2001
148,3/31/01,8.084,20010331,Denmark,Krone,Denmark,208,0.823152998,2001
149,6/30/01,8.81,20010630,Denmark,Krone,Denmark,208,0.823152998,2001
150,9/30/01,8.191,20010930,Denmark,Krone,Denmark,208,0.823152998,2001
151,12/31/01,8.344,20011231,Denmark,Krone,Denmark,208,0.823152998,2001
152,3/31/01,176.95,20010331,Djibouti,Franc,Djibouti,262,0.0,2001
153,6/30/01,176.95,20010630,Djibouti,Franc,Djibouti,262,0.0,2001
154,9/30/01,176.95,20010930,Djibouti,Franc,Djibouti,262,0.0,2001
155,12/31/01,176.95,20011231,Djibouti,Franc,Djibouti,262,0.0,2001
156,3/31/01,16.588,20010331,Dominican Republic,Peso,Dominican Republic,214,2.459516368,2001
157,6/30/01,16.99,20010630,Dominican Republic,Peso,Dominican Republic,214,2.459516368,2001
158,9/30/01,16.85,20010930,Dominican Republic,Peso,Dominican Republic,214,2.459516368,2001
159,12/31/01,17.02,20011231,Dominican Republic,Peso,Dominican Republic,214,2.459516368,2001
160,3/31/01,25000.0,20010331,Ecuador,Sucre,Ecuador,218,4.0156299,2001
161,6/30/01,25000.0,20010630,Ecuador,Sucre,Ecuador,218,4.0156299,2001
162,9/30/01,25000.0,20010930,Ecuador,Sucre,Ecuador,218,4.0156299,2001
163,12/31/01,25000.0,20011231,Ecuador,Sucre,Ecuador,218,4.0156299,2001
164,3/31/01,3.88,20010331,Egypt,Pound,Egypt,818,3.535251973,2001
165,6/30/01,3.886,20010630,Egypt,Pound,Egypt,818,3.535251973,2001
166,9/30/01,4.25,20010930,Egypt,Pound,Egypt,818,3.535251973,2001
167,12/31/01,4.56,20011231,Egypt,Pound,Egypt,818,3.535251973,2001
168,3/31/01,8.75,20010331,El Salvador,Colon,El Salvador,222,0.87961366,2001
169,6/30/01,8.75,20010630,El Salvador,Colon,El Salvador,222,0.87961366,2001
170,9/30/01,8.75,20010930,El Salvador,Colon,El Salvador,222,0.87961366,2001
171,12/31/01,8.75,20011231,El Salvador,Colon,El Salvador,222,0.87961366,2001
172,3/31/01,710.53,20010331,Equatorial Guinea,CFA Franc,Equatorial Guinea,226,63.37987543,2001
173,6/30/01,774.9,20010630,Equatorial Guinea,CFA Franc,Equatorial Guinea,226,63.37987543,2001
174,9/30/01,721.7,20010930,Equatorial Guinea,CFA Franc,Equatorial Guinea,226,63.37987543,2001
